ID_CJYP,DESC_CJYP,DIRECCION,CODPOSTAL,TELEFONO,X,Y,AGENCIA_NEW,ID_LOCALIDAD,RESPONSABLE,PROBIENESTAR,ESTADO,COMISIONVIGENTE,ENFERMERIA,PEDICURIA,AUTOCUIDADO,RECREATIVA
57,ASOC- CIVIL CLUB DE ABUELOS MAYORES EN ACCIËN,11 Y 4  ,T4101XAI,0381-4000778,-65.23843,-26.70419,129,"6,443",,0,1,0,0,0,0,0
58,C JYP DE ALDERETES,SARMIENTO S/N,T4178XAB,940623,-65.15000,-26.81667,129,"6,855",RODRIGUEZ DANTE,1,1,1,0,0,0,0
61,C JYP NAC SANTO CRISTO,SAN MIGUEL 746 ,4109,,-65.16667,-26.85000,129,"6,306",SANDOVAL JUAN ROBERTO,1,1,1,0,0,0,0
62,MESA FEDERAL DE JYP DE TUCUMAN,SAN MARTIN 514 ,4168,,-65.31667,-27.03333,129,"6,525",,0,2,0,0,0,0,0
63,C JYP NAC DE COLOMBRES CRUZ ALTA,SAN MARTIN S/N°    ,4184,4916133,-65.11667,-26.88333,129,"6,600","LEGUIZAMON, DANIEL",1,1,1,0,0,0,0
64,C JYP NAC DE DELFIN GALLO,NTRA SRA DEL CARMEN  S/N  ,T4117XAK,891064,-65.08333,-26.86667,129,"6,824",GEREZ ALBERTO,1,1,1,0,0,0,0
65,C JYP NAC DE LAS CEJAS,RIVADAVIA S/N S/N,T4186XAB,924021,-64.75000,-26.90000,129,"6,826",CASTILLO OSCAR,1,1,1,0,0,0,0
66,C JYP NAC DE LASTENIA,TORQUINS Y LA PLATA   ,4111,263710,-65.15000,-26.86667,129,"6,784",AGUIRRE EUGENIO,1,1,1,0,0,0,0
67,C JYP NAC 25 DE MAYO DE LASTENIA,REPUBLICA  335,4111,4262224,-65.15000,-26.86667,129,"6,784",SARMIENTO ROSA,1,1,1,0,0,0,0
68,C JYP NAC 20 DE SETIEMBRE,AV. AMERICA  122,4111,76-2680,-65.25000,-27.10000,129,"6,791",MEDINA  LUIS ERASMO,1,1,1,0,0,0,0
69,C JYP DE LOS RALOS,"AV SAN MARTIN,  4 CUADRA  S/N ",T4182XAB,03869-491040,-65.00000,-26.90000,129,"6,716",ORTIZ RAFAEL,1,1,1,0,0,0,0
70,ASOC JYP NAC DE RANCHILLOS,RUTA 302  KM 25  ,T4178XAL,0869-21073,-65.05000,-26.95000,129,"6,520",ARGAÑARAZ ESTHER,1,1,1,0,0,0,0
71,C JYP NAC SAN ANDRES,AV. GRAL SAN MARTIN  85,T4111XAL,4915058,-65.20000,-26.91667,129,"6,312",MEDINA JACINTO,1,1,1,0,0,0,0
73,SUB-COM JUB ASOC PERSONAL DIREC FERROC ARG SECCIONAL TUCUMAN,CATAMARCA  681,4000,245183,-65.21667,-26.83333,129,"6,709",HERRERA RAMON,0,1,1,0,0,0,0
74,C JYP NAC 3ERA JUVENTUD-PRIMAVERA 91,GRAL. PAZ 1852,4000,244913,-65.10000,-26.91667,129,"6,828",LEGUIZAMON EDELMIRA,1,1,1,0,0,0,0
75,C JYP NAC FERROV Y DEMAS LEYES PREV MUTUALISTA,LAS PIEDRAS  348,4000,232848,-65.21667,-26.83333,129,"6,709",SALAZAR ENRIQUE,0,1,1,0,0,0,0
76,C JYP NAC CELESTE Y BLANCO ING LA FLORIDA,M.T.ALVEAR S/Nº      S/Nº  ,4117,922074,-65.10000,-26.80000,129,"6,602","SORIA, MIGUEL",1,1,1,0,0,0,0
77,C JYP UNIDAD Y PROGRESO LA FLORIDA,AV. PRINCIPAL S/N 7   ,T4117XAM,922024,-65.10000,-26.80000,129,"6,602",CUELLO MIGUEL,1,1,1,0,0,0,0
78,SOC JYP INGENIO SAN JUAN,AMERICO VESPUCIO 415  ,T4109BZE,,-65.16667,-26.85000,129,"6,306",GRAMAJO RAMON FAUSTO,1,1,1,0,0,0,0
79,C JYP NAC OBISPO COLOMBRES,PAZ POSSE Y S°CRISTO  ,4109,261567,-65.16667,-26.85000,129,"6,306",,0,2,0,0,0,0,0
80,C JYP NAC DE ARCADIA,25 DE MAYO  8,4147,40869,-65.58333,-27.30000,129,"6,711",DIAZ ANGELA,1,1,1,0,0,0,0
82,ASOC NAC JYP FERROV Y DEMAS LEYES PREV,PROSPERO MENA 2880 74  ,4146,,-65.60000,-27.35000,129,"6,661",MORENO JOSE,1,1,1,0,0,0,0
83,C JYP NAC FRAY MAMERTO ESQUIU DE LA CIUDAD DE CONCEPCION,EL CEIBO Y SANTA MARIA DE ORO S/N,4146,03865-421453,-65.60000,-27.35000,129,"6,661",MARQUEZ  MARIA ESTELA,1,1,1,0,0,0,0
84,C JYP NAC UNIDOS DE CONCEPCION,JURAMENTO Y LOS ROBLES S/N  ,4146,,-65.60000,-27.35000,129,"6,661",SOTELO JOSE,1,1,1,0,0,0,0
85,SOC MUT JYP NAC DE VILLA LA TRINIDAD,COLON S/N  ,T4151XAB,,-65.51667,-27.40000,129,"6,821","FIGUEROA, ALBERTO",1,1,1,0,0,0,0
86,C JYP UNIDOS DE BELLA VISTA,9 DE JULIO ,T4168AMQ,4820180/4820461,-65.31667,-27.03333,129,"6,525","HERRERA, MIGUEL",1,1,1,0,0,0,0
87,C JYP NAC DE HERRERA,ZONA RURAL  S/N,4105,4820166,0.00000,0.00000,129,,ANDRADA ANDREA,1,1,1,0,0,0,0
88,C JYP NAC DE FAMAILLA,SAN MARTIN 504,T4132ARF,03863-461051,-65.41667,-27.05000,129,"6,867",PEREZ ABEL EDUARDO,1,1,1,0,0,0,0
89,C DE JYP. NTRA.  SRA. DEL CARMEN DE FAMAILLA,SAAVEDRA  S/Nº,4132,(03863) 461364,-65.41667,-27.05000,128,"6,867","RAMOS, JUAN ANTONIO",1,1,1,0,0,0,0
90,CTRO. DE VETERANOS DE MALVINAS 2 DE ABRIL,SAN MARTIN Y PJ BELGRANO S/N S/N,4132,0381-155956278,-65.41667,-27.05000,129,"6,867",PINTOS HUGO,0,1,1,0,0,0,0
91,C JYP NAC DE LULES,J L NOUGUES 277,T4128AFG,81-1298,-65.35000,-26.93333,129,"6,860","SANTILLAN, NILDA",1,1,1,0,0,0,0
92,C JYP EX INGENIO MERCEDES LULES,AV.ROCA Y ESQ.MORENO  51  ,4128,811615,-65.38331,-27.02169,129,"6,829",CHAZARRETA HIPOLITO,1,1,1,0,0,0,0
93,C JYP DE SAN PABLO,AV SAN MARTÍN S/N°  30  ,T4129XAG,43468825/154-67,-65.31667,-26.88333,129,"6,529",CARRIZO JUAN LUIS,1,1,1,0,0,0,0
94,C JYP NAC DE GRANEROS,PRESIDENTE PERON  S/N°  ,T4159XAC,491050,-65.45000,-27.65000,129,"6,523",GIMENEZ ALBORNOZ FELIX ANTONIO,1,1,1,0,0,0,0
95,C JYP NAC DE LA COCHA,SARMIENTO  55,T4162XAE,96015,-65.56667,-27.78333,129,"6,871",SALINAS RAMON ERNESTO,1,1,1,0,0,0,0
96,C JYP NAC DE LOS PIZARROS,PJE 2 DE ABRIL  S/N  ,4162,96122,0.00000,0.00000,129,,COSTA,1,1,1,0,0,0,0
