localidad,NOMBRE EFECTOR COMUNITARIO,RNEJyP,CÓDIGO ACTIVIDAD 2014 MODIFICADO,TALLER,nombre_a,calle,numero,partido,provincia,codpostal,distrito,edificio,piso,dpto,barrio,fax
SAN MIGUEL DE TUCUMAN,Centro de J.y P. Francisco de Aguirre,24-002-006-211,,1101 - GIMNASIA,"""CENTRO DE JYP NAC. Y PROV. FRANCISCO DE AGUIRRE ASOCIACION CIVIL""",PJE. MARCONI,1760,CAPITAL,24,4000,0,,,,,0381-155373494*
SAN MIGUEL DE TUCUMAN,Centro de J.yP. Francisco de Aguirre,24-002-006-211,,1406 - ARTES PLÁSTICAS,"""CENTRO DE JYP NAC. Y PROV. FRANCISCO DE AGUIRRE ASOCIACION CIVIL""",PJE. MARCONI,1760,CAPITAL,24,4000,0,,,,,0381-155373494*
SAN MIGUEL DE TUCUMAN,Centro de J. y P. Primavera 91,24-003-020-084,,1101 - GIMNASIA,C JYP NAC 3ERA JUVENTUD-PRIMAVERA 91,GRAL. PAZ *,1852,CAPITAL,24,4000,0,,,,,423-9124 *
BELLA VISTA,Centro de J. y P. Unidos de Bella Vista,24-005-002-024,,1411 - OFICIOS,C JYP UNIDOS DE BELLA VISTA,9 DE JULIO,65,LEALES,24,4168,0,,,,,0381-4820065*
BELLA VISTA,Centro de J. y P. Unidos de Bella Vista,24-005-002-024,,1408 - ARTESANÍAS / MANUALIDADES,C JYP UNIDOS DE BELLA VISTA,9 DE JULIO,65,LEALES,24,4168,0,,,,,0381-4820065*
BELLA VISTA,Centro de J. y P. Unidos de Bella Vista,24-005-002-024,1111 - Danzas Tropicales,1111 - DANZAS TROPICALES,C JYP UNIDOS DE BELLA VISTA,9 DE JULIO,65,LEALES,24,4168,0,,,,,0381-4820065*
BELLA VISTA,Centro de J. y P. Unidos de Bella Vista,24-005-002-024,,1406 - ARTES PLÁSTICAS,C JYP UNIDOS DE BELLA VISTA,9 DE JULIO,65,LEALES,24,4168,0,,,,,0381-4820065*
SAN MIGUEL DE TUCUMAN,Club de la Amistad 20 de Julio,24-002-006-202,,1101 - GIMNASIA,CTRO DE JYP AMISTAD 20 DE JULIO,LAPRIDA,2041,CAPITAL,24,4000,0,,,,,0381-4277209*
SAN MIGUEL DE TUCUMAN,Club de la Amistad 20 de Julio,24-002-006-202,,1408 - ARTESANÍAS / MANUALIDADES,CTRO DE JYP AMISTAD 20 DE JULIO,LAPRIDA,2041,CAPITAL,24,4000,0,,,,,0381-4277209*
SAN MIGUEL DE TUCUMAN,Club de la Amistad 20 de Julio,24-002-006-202,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,CTRO DE JYP AMISTAD 20 DE JULIO,LAPRIDA,2041,CAPITAL,24,4000,0,,,,,0381-4277209*
ESTACION ARAOZ,Centro de J.y P. Rosario de San Nicolßs,24-001-002-168,,1408 - ARTESANÍAS / MANUALIDADES,C DE JYP NAC ROSARIO DE SAN NICOLAS - ESTACION ARAOZ,SIN NOMBRE *,5,LEALES,24,4119,0,,,,,03863-155108349*
ESTACION ARAOZ,Centro de J.y P. Rosario de San Nicolßs,24-001-002-168,,1101 - GIMNASIA,C DE JYP NAC ROSARIO DE SAN NICOLAS - ESTACION ARAOZ,SIN NOMBRE *,5,LEALES,24,4119,0,,,,,03863-155108349*
ESTACION ARAOZ,Centro de J.y P. Rosario de San Nicolßs,24-001-002-168,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C DE JYP NAC ROSARIO DE SAN NICOLAS - ESTACION ARAOZ,SIN NOMBRE *,5,LEALES,24,4119,0,,,,,03863-155108349*
STA ROSA DE L,STA. ROSA DE LEALES,24-007-019-035,,1101 - GIMNASIA,C JYP NAC DE SANTA ROSA DE LEALES,V°STA ROSA DE LEALES *,S/N,LEALES,24,4111,0,,,,,155936983
